"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"US",11,2011-11-01,5,0.296009804624031,0.330933146053683,0.034923341429652
"EZ",12,2011-12-01,5,0.254603692282566,0.282111390697337,0.0275076984147708
"US",12,2011-12-01,5,0.283401582521118,0.30967217821955,0.0262705956984327
"EZ",13,2012-01-01,5,0.250719029453487,0.27678949082968,0.0260704613761939
"US",13,2012-01-01,5,0.261918521478337,0.284482344890024,0.0225638234116873
"EZ",14,2012-02-01,5,0.280899944742301,0.309928193586311,0.0290282488440105
"US",14,2012-02-01,5,0.275396852339899,0.305781301823809,0.0303844494839103
"EZ",15,2012-03-01,5,0.228476282567192,0.242925642039973,0.0144493594727807
"US",15,2012-03-01,5,0.303580173956172,0.329952266258442,0.0263720923022701
"EZ",16,2012-04-01,5,0.260059429279952,0.293411820038044,0.0333523907580922
"US",16,2012-04-01,5,0.298592322524762,0.324527360447666,0.0259350379229044
"EZ",17,2012-05-01,5,0.221859204094495,0.252692447892215,0.0308332437977205
"US",17,2012-05-01,5,0.344640037868702,0.37210434392312,0.0274643060544188
"EZ",18,2012-06-01,5,0.38932780273401,0.454252777332407,0.0649249745983962
"US",18,2012-06-01,5,0.217299249874757,0.239070845174555,0.0217715952997981
"EZ",19,2012-07-01,5,0.348568379224138,0.412544842291184,0.0639764630670466
"US",19,2012-07-01,5,0.208204903198247,0.228831537275691,0.020626634077444
"EZ",20,2012-08-01,5,0.210044818004,0.238721123728067,0.0286763057240676
"US",20,2012-08-01,5,0.34693708766311,0.375316822459694,0.0283797347965834
"EZ",21,2012-09-01,5,0.23173919246095,0.267510704809726,0.0357715123487756
"US",21,2012-09-01,5,0.396968618827642,0.421281141044032,0.0243125222163902
"EZ",22,2012-10-01,5,0.241554845037436,0.283222282062824,0.041667437025388
"US",22,2012-10-01,5,0.286472827378463,0.311882082489691,0.025409255111228
"EZ",23,2012-11-01,5,0.217859055104351,0.253111768941233,0.035252713836882
"US",23,2012-11-01,5,0.426548059834123,0.454423893027921,0.0278758331937973
"EZ",24,2012-12-01,5,0.216918258398234,0.252555140206799,0.0356368818085644
"US",24,2012-12-01,5,0.426085308533035,0.454352942130733,0.0282676335976981
"EZ",25,2013-01-01,5,0.218859711263962,0.24867927738544,0.0298195661214783
"US",25,2013-01-01,5,0.252739879844063,0.285810135281548,0.0330702554374854
"EZ",26,2013-02-01,5,0.218902967584424,0.250318403938672,0.0314154363542474
"US",26,2013-02-01,5,0.447955545172734,0.469728785856301,0.0217732406835669
"EZ",27,2013-03-01,5,0.215421686824747,0.245651587145363,0.0302299003206163
"US",27,2013-03-01,5,0.243457102206798,0.282111434061587,0.0386543318547881
"EZ",28,2013-04-01,5,0.215495348550153,0.246276529290019,0.0307811807398659
"US",28,2013-04-01,5,0.237544177779254,0.273516683831061,0.0359725060518068
"EZ",29,2013-05-01,5,0.215112106604723,0.245038455668962,0.0299263490642389
"US",29,2013-05-01,5,0.222437776672994,0.253746138742977,0.031308362069983
"EZ",30,2013-06-01,5,0.186919077837024,0.21573754931088,0.0288184714738558
"US",30,2013-06-01,5,0.209894772079548,0.239052492373504,0.0291577202939559
"EZ",31,2013-07-01,5,0.155837902703577,0.181743296130784,0.0259053934272073
"US",31,2013-07-01,5,0.218825718932668,0.251452429468272,0.0326267105356042
"EZ",32,2013-08-01,5,0.15910636176516,0.186577869716559,0.0274715079513996
"US",32,2013-08-01,5,0.229410195717407,0.265287981101432,0.0358777853840257
"EZ",33,2013-09-01,5,0.27810645529426,0.300348299797501,0.0222418445032413
"US",33,2013-09-01,5,0.364446609080658,0.386377563429242,0.0219309543485843
"EZ",34,2013-10-01,5,0.16964037622063,0.23097627935427,0.0613359031336401
"US",34,2013-10-01,5,0.264816090349395,0.275612487262156,0.0107963969127616
"EZ",35,2013-11-01,5,0.239939113386425,0.259170086040349,0.0192309726539235
"US",35,2013-11-01,5,0.369024567297261,0.392203407127009,0.0231788398297478
"EZ",36,2013-12-01,5,0.111285116903114,0.15011367482937,0.0388285579262553
"US",36,2013-12-01,5,0.35330030209208,0.378144961515106,0.0248446594230266
"EZ",37,2014-01-01,5,0.247865437083401,0.263905110853176,0.0160396737697749
"US",37,2014-01-01,5,0.185290419303811,0.208892409643146,0.0236019903393346
"EZ",38,2014-02-01,5,0.234745810581998,0.250439563545755,0.0156937529637571
"US",38,2014-02-01,5,0.173857224547597,0.194601505795438,0.0207442812478405
"EZ",39,2014-03-01,5,0.22494075598947,0.242094633840918,0.0171538778514484
"US",39,2014-03-01,5,0.164497949923361,0.183393399010195,0.0188954490868336
"EZ",40,2014-04-01,5,0.158431191400836,0.186923896915413,0.0284927055145776
"US",40,2014-04-01,5,0.350989181583338,0.373922764370365,0.0229335827870265
"EZ",41,2014-05-01,5,0.154239732442736,0.165785681369559,0.0115459489268229
"US",41,2014-05-01,5,0.178931128382027,0.202391774269257,0.0234606458872295
"EZ",42,2014-06-01,5,0.242145562952971,0.261847765633635,0.019702202680664
"US",42,2014-06-01,5,0.184959433337878,0.212261693965834,0.0273022606279564
"EZ",43,2014-07-01,5,0.251437619465242,0.276826877280171,0.0253892578149287
"US",43,2014-07-01,5,0.33454298677051,0.356502304417281,0.0219593176467709
"EZ",44,2014-08-01,5,0.106592746993639,0.119061966877406,0.0124692198837673
"US",44,2014-08-01,5,0.26633240488778,0.283243316184481,0.0169109112967007
"EZ",45,2014-09-01,5,0.0958379995540712,0.106821379492955,0.0109833799388836
"US",45,2014-09-01,5,0.230210794049464,0.247102112293744,0.0168913182442794
"EZ",46,2014-10-01,5,0.0759099802905974,0.0838706676492456,0.00796068735864818
"US",46,2014-10-01,5,0.266557566481642,0.285845615245991,0.0192880487643491
"EZ",47,2014-11-01,5,0.0618912573697907,0.0683067613861086,0.00641550401631792
"US",47,2014-11-01,5,0.259816521336493,0.280430609072597,0.0206140877361039
"EZ",48,2014-12-01,5,0.0905911764218069,0.1049753747921,0.0143841983702936
"US",48,2014-12-01,5,0.246792967214154,0.258373200989795,0.0115802337756406
"EZ",49,2015-01-01,5,0.114522476407633,0.124211604758433,0.00968912835079926
"US",49,2015-01-01,5,0.280261743385645,0.286506713407365,0.00624497002171969
"EZ",50,2015-02-01,5,0.202859834993444,0.227654186570864,0.0247943515774197
"US",50,2015-02-01,5,0.229686854378401,0.256046513032766,0.026359658654365
"EZ",51,2015-03-01,5,0.205155929440837,0.229941029912551,0.0247851004717142
"US",51,2015-03-01,5,0.288477315701969,0.29516280419173,0.00668548848976117
"EZ",52,2015-04-01,5,0.0607417765677753,0.0683539577807777,0.00761218121300238
"US",52,2015-04-01,5,0.504068639238099,0.508340699964458,0.00427206072635951
"EZ",53,2015-05-01,5,0.0771294539068696,0.1077271347199,0.0305976808130306
"US",53,2015-05-01,5,0.305352057832805,0.3322728004049,0.0269207425720946
"EZ",54,2015-06-01,5,0.0876403072479527,0.097096201620599,0.00945589437264628
"US",54,2015-06-01,5,0.269045526766987,0.281477826211791,0.012432299444804
"EZ",55,2015-07-01,5,0.0741933161603058,0.108700374668983,0.034507058508677
"US",55,2015-07-01,5,0.294273223791728,0.305622279889584,0.0113490560978553
"EZ",56,2015-08-01,5,0.086879018900448,0.092114021797086,0.00523500289663801
"US",56,2015-08-01,5,0.238635028587413,0.250603311131926,0.0119682825445128
"EZ",57,2015-09-01,5,0.185949768446723,0.207772728996485,0.0218229605497622
"US",57,2015-09-01,5,0.321227022880199,0.33716716078289,0.0159401379026913
